,Suburb,Address,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Year,Month,Day,Weekday,Week
0,0,12794,2,0,1480000.0,1,23,2.5,3067.0,2.0,1.0,1.0,202.0,151.39544513457557,0.0,31,-37.7996,144.9984,2,4019.0,2016,12,3,5,48
1,0,5943,2,0,1035000.0,1,23,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,31,-37.8079,144.9934,2,4019.0,2016,2,4,3,5
2,0,9814,3,0,1465000.0,3,23,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,31,-37.8093,144.9944,2,4019.0,2017,3,4,5,9
3,0,9004,3,0,850000.0,0,23,2.5,3067.0,3.0,2.0,1.0,94.0,70.45134575569358,0.0,31,-37.7969,144.9969,2,4019.0,2017,3,4,5,9
4,0,10589,4,0,1600000.0,4,155,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,31,-37.8072,144.9941,2,4019.0,2016,6,4,5,22
5,0,2195,2,0,941000.0,1,106,2.5,3067.0,2.0,1.0,0.0,181.0,135.65631469979297,0.0,31,-37.8041,144.9953,2,4019.0,2016,5,7,5,18
6,0,2142,3,0,1876000.0,1,155,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,31,-37.8024,144.9993,2,4019.0,2016,5,7,5,18
7,0,13335,2,0,1636000.0,1,155,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,31,-37.806,144.9954,2,4019.0,2016,10,8,5,40
8,0,11082,1,2,300000.0,1,23,2.5,3067.0,1.0,1.0,1.0,0.0,84.0,0.0,31,-37.8008,144.9973,2,4019.0,2016,10,8,5,40
9,0,1090,2,0,1097000.0,1,23,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,31,-37.801,144.9989,2,4019.0,2016,10,8,5,40
10,0,9174,2,2,700000.0,4,106,2.5,3067.0,2.0,2.0,1.0,0.0,84.0,0.0,31,-37.811,145.0067,2,4019.0,2016,11,12,5,45
11,0,9029,3,0,1350000.0,4,155,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,31,-37.8085,144.9964,2,4019.0,2016,11,12,5,45
12,0,2125,2,2,750000.0,1,23,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,31,-37.8078,144.9965,2,4019.0,2016,11,12,5,45
13,0,9482,2,0,1172500.0,1,23,2.5,3067.0,2.0,1.0,1.0,195.0,146.14906832298138,0.0,31,-37.8084,144.9973,2,4019.0,2016,8,13,5,32
14,0,11881,1,2,441000.0,3,85,2.5,3067.0,1.0,1.0,1.0,0.0,84.0,0.0,31,-37.8016,144.9988,2,4019.0,2016,5,14,5,19
15,0,3286,2,0,1310000.0,1,106,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,31,-37.809,144.9976,2,4019.0,2016,10,15,5,41
16,0,9211,3,0,1200000.0,1,106,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,31,-37.8056,144.993,2,4019.0,2016,7,16,5,28
17,0,12273,3,0,1176500.0,1,117,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,31,-37.8021,144.9965,2,4019.0,2016,7,16,5,28
18,0,4017,3,0,955000.0,1,49,2.5,3067.0,3.0,1.0,0.0,183.0,137.1552795031056,0.0,31,-37.8022,144.9975,2,4019.0,2016,9,17,5,37
19,0,9250,2,0,890000.0,1,23,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,31,-37.8011,145.0004,2,4019.0,2016,9,17,5,37
20,0,7273,4,0,1330000.0,0,111,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,31,-37.8073,144.9952,2,4019.0,2017,3,18,5,11
